,Breaking&Entering,Stated intent with partner,Happened at night,Elements of assault identified,Elements of theft identified,Race,Stage of Legal Procedure,Sentencing
0,True,True,True,False,True,Black,Investigation,0
1,True,True,False,False,True,Black,Plea Bargaining,1
2,False,True,True,False,True,Other,Plea Bargaining,4
3,False,True,False,True,True,White,Investigation,1
4,True,False,True,True,True,Other,Investigation,2
5,True,True,False,True,True,Black,Investigation,3
6,False,True,True,False,False,White,Initial Hearing/Arraignment,3
7,False,True,False,False,True,Black,Plea Bargaining,3
8,True,True,False,True,False,White,Investigation,1
9,True,True,False,False,True,White,Initial Hearing/Arraignment,3
10,False,False,True,True,True,White,Investigation,1
11,False,True,False,False,False,Other,Initial Hearing/Arraignment,3
12,False,False,False,True,False,White,Investigation,1
13,True,False,True,True,False,Hispanic,Pre-Trial Motions,2
14,False,False,True,True,False,Hispanic,Initial Hearing/Arraignment,2
15,True,False,True,False,True,Black,Plea Bargaining,3
16,True,True,False,False,False,Black,Plea Bargaining,4
17,False,False,True,True,False,Other,Plea Bargaining,3
18,True,False,False,True,True,Other,Investigation,4
19,True,False,False,True,False,Hispanic,Pre-Trial Motions,2
20,True,True,True,False,False,Hispanic,Pre-Trial Motions,3
21,True,True,False,False,True,Hispanic,Initial Hearing/Arraignment,5
22,False,True,True,False,False,Black,Investigation,4
23,True,True,True,False,True,Other,Pre-Trial Motions,1
24,True,False,False,True,True,Black,Plea Bargaining,5
25,False,False,True,True,True,Other,Plea Bargaining,0
26,True,False,False,False,True,Black,Pre-Trial Motions,1
27,False,True,True,True,False,White,Pre-Trial Motions,1
28,False,True,False,False,True,Other,Initial Hearing/Arraignment,2
29,True,False,True,False,True,White,Initial Hearing/Arraignment,4
30,False,False,True,False,False,Black,Investigation,0
31,False,False,False,False,True,Other,Investigation,0
32,True,False,False,False,True,White,Investigation,3
33,True,True,True,False,True,White,Initial Hearing/Arraignment,2
34,False,True,True,True,True,Hispanic,Investigation,0
35,True,False,True,True,False,Black,Plea Bargaining,5
36,True,True,True,False,False,White,Plea Bargaining,1
37,False,True,False,True,True,Other,Plea Bargaining,4
38,False,False,True,False,True,Hispanic,Pre-Trial Motions,0
39,False,False,False,False,True,Black,Plea Bargaining,0
