,Breaking&Entering,Stated intent with partner,Happened at night,Elements of assault identified,Elements of theft identified,Race,Stage of Legal Procedure,Sentencing
0,False,True,True,True,False,Black,Plea Bargaining,1
1,True,True,True,False,True,Hispanic,Initial Hearing/Arraignment,3
2,True,False,True,False,True,Black,Pre-Trial Motions,3
3,False,True,False,True,False,Black,Plea Bargaining,5
4,False,False,True,False,True,Hispanic,Plea Bargaining,0
5,True,True,True,True,False,Other,Investigation,4
6,False,False,True,False,True,Black,Plea Bargaining,4
7,True,True,False,False,False,Other,Investigation,3
8,True,False,False,False,False,Hispanic,Investigation,3
9,True,False,True,True,True,White,Initial Hearing/Arraignment,5
10,False,True,True,False,True,Hispanic,Plea Bargaining,3
11,False,True,False,True,False,Hispanic,Initial Hearing/Arraignment,0
12,False,True,True,False,True,Hispanic,Initial Hearing/Arraignment,2
13,True,True,False,True,False,Other,Pre-Trial Motions,2
14,True,False,False,True,True,Black,Investigation,5
15,False,True,False,True,False,Black,Investigation,4
16,True,False,True,False,True,Hispanic,Initial Hearing/Arraignment,4
17,True,True,False,False,True,Black,Plea Bargaining,2
18,True,True,False,False,False,Other,Investigation,1
19,False,True,False,False,True,White,Investigation,2
20,True,True,True,False,True,Black,Pre-Trial Motions,4
21,False,False,False,False,True,Black,Pre-Trial Motions,3
22,True,False,False,True,True,Hispanic,Investigation,5
23,False,True,True,True,True,Black,Investigation,4
24,False,True,True,False,False,Black,Investigation,5
25,False,False,True,True,False,Other,Investigation,3
26,False,False,False,True,True,White,Investigation,0
27,True,False,False,False,False,Other,Plea Bargaining,1
28,True,True,False,False,False,Black,Plea Bargaining,1
29,False,True,False,False,False,White,Initial Hearing/Arraignment,4
30,True,False,True,False,False,Other,Pre-Trial Motions,1
31,False,False,False,True,True,Other,Plea Bargaining,0
32,False,True,False,False,False,Black,Investigation,2
33,False,True,False,True,False,Hispanic,Investigation,0
34,False,True,False,False,False,Hispanic,Plea Bargaining,1
35,False,True,True,True,True,Other,Plea Bargaining,2
36,True,False,True,True,False,Black,Plea Bargaining,1
37,False,True,True,True,True,Black,Plea Bargaining,3
38,False,True,True,False,False,White,Investigation,2
39,False,False,False,True,True,Hispanic,Pre-Trial Motions,4
40,True,False,True,True,False,White,Plea Bargaining,4
41,True,False,False,False,False,Black,Investigation,3
42,False,True,True,True,False,Other,Pre-Trial Motions,2
43,False,False,False,False,True,Hispanic,Plea Bargaining,3
44,False,True,False,True,False,Black,Initial Hearing/Arraignment,5
45,False,False,True,False,False,Black,Pre-Trial Motions,1
46,True,False,False,True,True,White,Initial Hearing/Arraignment,3
47,False,False,False,True,True,Black,Investigation,2
48,False,False,True,False,False,Other,Pre-Trial Motions,0
49,True,False,False,True,False,Black,Initial Hearing/Arraignment,3
50,False,False,True,False,True,Black,Investigation,2
51,False,True,False,True,True,White,Initial Hearing/Arraignment,3
52,False,True,True,False,False,White,Pre-Trial Motions,0
53,False,True,False,True,False,Other,Initial Hearing/Arraignment,3
54,False,True,True,True,True,Black,Investigation,1
55,False,True,True,False,True,Other,Pre-Trial Motions,1
56,True,True,False,False,False,Other,Initial Hearing/Arraignment,0
57,False,False,True,True,True,Black,Plea Bargaining,4
58,True,True,True,False,True,Hispanic,Plea Bargaining,4
59,False,False,False,True,False,White,Pre-Trial Motions,5
60,True,True,True,True,True,Other,Plea Bargaining,1
61,True,True,True,True,True,White,Investigation,1
62,False,True,True,False,False,Other,Pre-Trial Motions,0
63,True,True,True,True,False,Other,Investigation,2
64,False,True,False,False,False,Hispanic,Investigation,1
65,True,True,True,False,False,Black,Initial Hearing/Arraignment,1
66,True,False,False,True,False,Hispanic,Pre-Trial Motions,2
67,False,True,True,True,False,Black,Investigation,5
68,False,True,True,False,False,Hispanic,Investigation,5
69,True,False,True,False,False,Other,Initial Hearing/Arraignment,0
70,False,True,False,True,False,White,Investigation,5
71,True,False,True,False,True,Hispanic,Initial Hearing/Arraignment,3
72,False,False,True,False,True,White,Pre-Trial Motions,5
73,True,False,True,True,False,Hispanic,Plea Bargaining,3
74,False,True,False,False,True,Black,Investigation,5
75,False,True,True,False,False,Other,Investigation,2
76,False,True,False,True,True,Hispanic,Plea Bargaining,4
77,True,True,True,True,True,Black,Plea Bargaining,0
78,False,False,True,False,False,White,Pre-Trial Motions,2
79,True,False,False,False,True,White,Plea Bargaining,0
80,False,True,False,True,True,Black,Initial Hearing/Arraignment,4
81,True,False,False,False,True,Other,Pre-Trial Motions,0
82,False,False,True,True,True,Black,Plea Bargaining,5
83,True,False,False,True,True,Other,Plea Bargaining,1
84,True,False,False,False,False,Hispanic,Initial Hearing/Arraignment,4
85,False,False,True,True,False,White,Initial Hearing/Arraignment,1
86,True,False,True,True,True,Hispanic,Plea Bargaining,3
87,False,False,False,False,False,Black,Investigation,4
88,False,False,True,True,True,White,Plea Bargaining,2
89,False,False,True,False,True,Black,Plea Bargaining,5
90,True,True,True,False,False,Black,Initial Hearing/Arraignment,5
91,True,False,True,False,True,White,Plea Bargaining,3
92,False,True,True,False,True,Hispanic,Investigation,1
93,True,True,True,False,True,Black,Investigation,4
94,True,False,False,False,False,Black,Investigation,2
95,False,False,True,True,True,Other,Pre-Trial Motions,3
96,True,True,False,True,False,White,Pre-Trial Motions,0
97,True,False,False,True,True,Black,Plea Bargaining,1
98,False,True,True,False,True,Black,Pre-Trial Motions,0
99,False,True,False,False,True,Other,Plea Bargaining,1
100,False,True,True,False,True,White,Initial Hearing/Arraignment,4
101,True,False,False,False,True,Hispanic,Investigation,2
102,True,False,False,False,False,Black,Plea Bargaining,4
103,True,False,True,False,False,Hispanic,Investigation,1
104,False,False,True,True,False,White,Plea Bargaining,4
105,False,False,False,False,False,Other,Plea Bargaining,3
106,True,True,True,True,True,Hispanic,Initial Hearing/Arraignment,4
107,False,True,False,False,False,Black,Investigation,4
108,True,True,True,True,True,Black,Investigation,5
109,False,False,True,True,True,Other,Plea Bargaining,0
110,True,False,True,False,False,Other,Investigation,3
111,False,False,False,True,False,Other,Plea Bargaining,4
112,False,True,True,False,False,Black,Pre-Trial Motions,3
113,False,True,True,True,False,Hispanic,Plea Bargaining,3
114,True,False,False,False,True,Hispanic,Plea Bargaining,1
115,True,True,False,False,False,Hispanic,Initial Hearing/Arraignment,3
116,False,False,True,False,False,Other,Pre-Trial Motions,1
117,True,True,True,True,True,Other,Pre-Trial Motions,4
118,False,True,True,False,True,Hispanic,Pre-Trial Motions,1
119,True,True,False,False,False,Black,Investigation,4
120,True,True,True,True,False,Hispanic,Pre-Trial Motions,1
121,False,False,True,False,True,Black,Plea Bargaining,3
122,False,False,True,False,True,White,Initial Hearing/Arraignment,1
123,True,False,False,True,True,Hispanic,Investigation,0
124,True,True,False,False,True,White,Initial Hearing/Arraignment,1
125,True,True,False,False,False,Black,Investigation,4
126,False,True,False,True,True,Hispanic,Initial Hearing/Arraignment,2
127,True,False,True,False,False,Other,Plea Bargaining,2
128,False,False,False,False,False,Hispanic,Investigation,0
129,True,True,True,False,True,White,Plea Bargaining,3
130,False,False,True,False,False,Hispanic,Initial Hearing/Arraignment,3
131,True,True,True,False,False,Hispanic,Investigation,1
132,True,True,False,False,True,Black,Plea Bargaining,4
133,False,True,False,True,False,Hispanic,Pre-Trial Motions,4
134,True,False,False,False,True,Hispanic,Initial Hearing/Arraignment,4
135,True,False,True,True,False,Black,Plea Bargaining,4
136,False,False,False,True,True,Black,Initial Hearing/Arraignment,2
137,True,True,True,False,True,Black,Plea Bargaining,5
138,False,False,False,True,True,White,Plea Bargaining,3
